# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command
# Idx           #    C/G      %      %      %      %      %      %    name
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
    0      22068   M+C      -      -      -      -      -      -    gpu
    0      22210     C     99      0      -      -      -      -    nvidia-cuda-mps
