NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                                               MESSAGE
default       2m27s       Normal    Starting                       node/gke-cnip-gke-platform-01bed97e-rkph             
argocd        3m36s       Normal    ScalingReplicaSet              deployment/argocd-server                             Scaled up replica set argocd-server-5df668db89 from 0 to 1
argocd        3m35s       Warning   FailedScheduling               pod/argocd-server-5df668db89-fl7gx                   0/1 nodes are available: 1 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system   3m35s       Normal    ScaledUpGroup                  configmap/cluster-autoscaler-status                  Scale-up: setting group https://www.googleapis.com/compute/v1/projects/gold-courage-498911-e4/zones/asia-south1-a/instanceGroups/gke-cnip-gke-platform-01bed97e-grp size to 1 instead of 0 (max: 3)
argocd        3m35s       Normal    SuccessfulCreate               replicaset/argocd-server-5df668db89                  Created pod: argocd-server-5df668db89-fl7gx
argocd        3m34s       Normal    SuccessfulCreate               replicaset/argocd-repo-server-7df895d8f4             Created pod: argocd-repo-server-7df895d8f4-pr26x
argocd        3m34s       Warning   FailedScheduling               pod/argocd-repo-server-7df895d8f4-pr26x              0/1 nodes are available: 1 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
argocd        3m34s       Normal    ScalingReplicaSet              deployment/argocd-repo-server                        Scaled up replica set argocd-repo-server-7df895d8f4 from 0 to 1
kube-system   3m33s       Normal    ScaledUpGroup                  configmap/cluster-autoscaler-status                  Scale-up: group https://www.googleapis.com/compute/v1/projects/gold-courage-498911-e4/zones/asia-south1-a/instanceGroups/gke-cnip-gke-platform-01bed97e-grp size set to 1 instead of 0 (max: 3)
argocd        3m33s       Normal    TriggeredScaleUp               pod/argocd-server-5df668db89-fl7gx                   Pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/gold-courage-498911-e4/zones/asia-south1-a/instanceGroups/gke-cnip-gke-platform-01bed97e-grp 0->1 (max: 3)}]
default       2m33s       Normal    Starting                       node/gke-cnip-gke-platform-01bed97e-rkph             Starting kubelet.
default       2m33s       Warning   InvalidDiskCapacity            node/gke-cnip-gke-platform-01bed97e-rkph             invalid capacity 0 on image filesystem
default       2m33s       Normal    NodeHasSufficientMemory        node/gke-cnip-gke-platform-01bed97e-rkph             Node gke-cnip-gke-platform-01bed97e-rkph status is now: NodeHasSufficientMemory
default       2m33s       Normal    NodeHasNoDiskPressure          node/gke-cnip-gke-platform-01bed97e-rkph             Node gke-cnip-gke-platform-01bed97e-rkph status is now: NodeHasNoDiskPressure
default       2m33s       Normal    NodeHasSufficientPID           node/gke-cnip-gke-platform-01bed97e-rkph             Node gke-cnip-gke-platform-01bed97e-rkph status is now: NodeHasSufficientPID
default       2m33s       Normal    NodeAllocatableEnforced        node/gke-cnip-gke-platform-01bed97e-rkph             Updated Node Allocatable limit across pods
kube-system   2m32s       Normal    SuccessfulCreate               daemonset/gke-metrics-agent                          Created pod: gke-metrics-agent-85s2d
kube-system   2m32s       Normal    Scheduled                      pod/netd-xlp69                                       Successfully assigned kube-system/netd-xlp69 to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m32s       Normal    SuccessfulCreate               daemonset/netd                                       Created pod: netd-xlp69
kube-system   2m32s       Normal    Pulled                         pod/kube-proxy-gke-cnip-gke-platform-01bed97e-rkph   Container image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1641000" already present on machine and can be accessed by the pod
kube-system   2m32s       Normal    Scheduled                      pod/pdcsi-node-2h6jw                                 Successfully assigned kube-system/pdcsi-node-2h6jw to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m32s       Normal    SuccessfulCreate               daemonset/fluentbit-gke                              Created pod: fluentbit-gke-v29rz
kube-system   2m32s       Normal    Scheduled                      pod/gke-metadata-server-96f78                        Successfully assigned kube-system/gke-metadata-server-96f78 to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m32s       Normal    SuccessfulCreate               daemonset/pdcsi-node                                 Created pod: pdcsi-node-2h6jw
kube-system   2m32s       Normal    Scheduled                      pod/gke-metrics-agent-85s2d                          Successfully assigned kube-system/gke-metrics-agent-85s2d to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m32s       Normal    SuccessfulCreate               daemonset/gke-metadata-server                        Created pod: gke-metadata-server-96f78
kube-system   2m32s       Normal    Scheduled                      pod/fluentbit-gke-v29rz                              Successfully assigned kube-system/fluentbit-gke-v29rz to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m31s       Normal    Started                        pod/kube-proxy-gke-cnip-gke-platform-01bed97e-rkph   Container started
